id,category,keywords,question,answer,escalation,doc_type,department,date,language,source
1,Security/Onboarding,"2FA, двухфакторная аутентификация, пароль, NDA, безопасность","Как настроить 2FA и где подписать NDA?","1. **2FA**: dashboard.neomoney.internal → Настройки → Безопасность → Включить 2FA. Используйте Google Authenticator. 2. **NDA**: Отправлено через DocuSign на почту. Подпишите до конца 1-го рабочего дня.",it_support,procedure,Security,2026-06-29,ru,csv_internal
2,Org,"график, часы, core hours, рабочее время","Какой график работы в NeoMoney?","Гибкий график. **Core hours**: 11:00–16:00 МСК (обязательно). Остальное время распределяете сами. Неделя — 40 часов.",manager,policy,Org,2026-06-29,ru,csv_internal
3,HR Policies,"отпуск, больничный, отгул, vacation, sick leave","Как оформить отпуск или больничный?","Через систему **NeoPeople**. Отпуск — минимум за **2 недели**. Больничный — прикрепите электронный листок. День рождения — выходной!",hr,procedure,HR,2026-06-29,ru,csv_internal
4,Onboarding,"первый день, Day 1, чек-лист","Что мне нужно сделать в первый день?","1. Подписать NDA. 2. Настроить почту. 3. Написать бадди в Slack. 4. Пройти инструктаж по безопасности.",manager,checklist,Onboarding,2026-06-29,ru,csv_internal
5,Onboarding,"первая неделя, Week 1, чек-лист","Что нужно сделать в первую неделю?","1. Курс по ИБ. 2. Изучить продукты в Confluence. 3. Встреча с руководителем. 4. Доступы к Jira/Slack/NeoCore.",manager,checklist,Onboarding,2026-06-29,ru,csv_internal
6,Onboarding,"первый месяц, испытательный срок, probation","Что нужно сделать за первый месяц?","1. Выполнить первое задание. 2. Составить план развития. 3. Чек-ин с HR. 4. Получить фидбек от команды.",manager,checklist,Onboarding,2026-06-29,ru,csv_internal
7,Onboarding,"бадди, наставник, помощь, buddy","Кто такой бадди и чем он поможет?","Бадди — ваш коллега-помощник по неформальным вопросам. Имя указано в приветственном письме. Пишите ему в Slack!",manager,guide,Onboarding,2026-06-29,ru,csv_internal
8,Org,"культура, ценности, дресс-код, NeoTalks","Расскажи о культуре NeoMoney","Ценности: Инновации, Прозрачность, Безопасность. Дресс-код: **smart casual**. Пятница 16:00 — митапы NeoTalks.",manager,guide,Org,2026-06-29,ru,csv_internal
9,HR Policies,"ДМС, спорт, льготы, бенефиты, питание","Какие льготы и бенефиты есть в компании?","1. **ДМС** (со 2-го месяца). 2. Компенсация спорта. 3. Оплата обедов. 4. Обучение за счет компании. Подробности в NeoPeople.",hr,guide,HR,2026-06-29,ru,csv_internal
10,HR Policies,"зарплата, аванс, выплаты, 2-НДФЛ","Когда выплачивается зарплата и как получить справки?","Выплаты 2 раза в месяц (аванс и расчет). Справки (2-НДФЛ и др.) заказываются через NeoPeople → Документы.",hr,procedure,HR,2026-06-29,ru,csv_internal
11,HR Policies,"испытательный срок, оценка, probation, критерии","Как оценивают прохождение испытательного срока?","По итогам выполнения плана развития (OKR). Проводится финальная встреча с руководителем и HR в конце 3-го месяца.",hr,guide,HR,2026-06-29,ru,csv_internal
12,HR Policies,"1on1, обратная связь, фидбек, чек-ин","Как проходят встречи 1:1 и чек-ины?","1:1 с руководителем — раз в 2 недели. Чек-ин с HR — раз в месяц в первый квартал. Цель: обсудить прогресс и сложности.",hr,guide,HR,2026-06-29,ru,csv_internal
13,HR Policies,"грейды, карьера, performance review, рост","Как работает карьерный рост и Performance Review?","Review проходит раз в полгода. Оценка по грейдам (Junior -> Middle -> Senior). Рост зависит от навыков и результатов.",hr,guide,HR,2026-06-29,ru,csv_internal
14,HR Policies,"обучение, курсы, сертификация, бюджет","Есть ли бюджет на обучение и курсы?","Да, компания оплачивает профильные курсы и сертификации. Заявка подается руководителю → согласование с HR.",hr,procedure,HR,2026-06-29,ru,csv_internal
15,HR Policies,"командировки, суточные, поездки, travel","Как оформить командировку и получить суточные?","Заявка в Jira → Одобрение руководителя → Бронирование через Travel-отдел. Суточные выплачиваются согласно политике компании.",hr,procedure,HR,2026-06-29,ru,csv_internal
16,Onboarding,"ноутбук, техника, монитор, оборудование","Как получить рабочую технику и что делать при поломке?","Техника выдается в 1-й день. При поломке: создайте тикет в Jira (IT-Request) с описанием проблемы.",it_support,procedure,IT,2026-06-29,ru,csv_internal
17,HR Policies,"кодекс, этика, антикоррупция, правила","Какие основные правила поведения в компании?","Соблюдайте Кодекс этики: уважение к коллегам, отсутствие дискриминации, запрет на подарки от клиентов. Полный текст в Confluence.",hr,guide,HR,2026-06-29,ru,csv_internal
18,Security/Onboarding,"фишинг, подозрительное письмо, безопасность","Что делать, если пришло подозрительное письмо?","**Не открывайте ссылки и файлы!** Перешлите письмо в канал #security-alerts или напишите в IT-поддержку.",it_support,procedure,Security,2026-06-29,ru,csv_internal
19,HR Policies,"документы, СНИЛС, ИНН, паспорт, кадры","Какие документы нужны для кадрового учета?","Паспорт, СНИЛС, ИНН, трудовая книжка (или выписка СТД-Р). При изменении данных (фамилия, адрес) — сообщите в HR.",hr,procedure,HR,2026-06-29,ru,csv_internal
20,IT Process,"IT-поддержка, заявка, тикет, SLA, Jira","Как правильно обратиться в IT-поддержку?","Создайте тикет в Jira (IT-Request). Укажите: суть проблемы, скриншот, срочность. SLA по критичным багам — 4 часа.",it_support,procedure,IT,2026-06-29,ru,csv_internal
21,HR Policies,"удаленка, гибрид, удаленная работа, адаптация","Как устроена удаленная работа в NeoMoney?","Мы работаем в гибридном/удаленном формате. Главное — быть на связи в core hours и присутствовать на общих звонках в Zoom/Slack.",manager,policy,HR,2026-06-29,ru,csv_internal
22,Org,"корпоративы, тимбилдинг, NeoTalks, мероприятия","Какие корпоративные мероприятия бывают?","1. Ежеквартальные тимбилдинги. 2. Пятничные NeoTalks. 3. Новогодний корпоратив. Следите за анонсами в канале #general.",manager,guide,Org,2026-06-29,ru,csv_internal